Pago,DiasEnvio(Real),DiasEnvio(Programado),BeneficioPorPedido,EstadoEntrega,RiesgoEntregaTardia,Categoria,PaisCliente,IDCliente,SegmentoCliente,PaisPedido,FechaPedido,IDPedido,IDArticuloPedido,PrecioArticuloPedido,CantidadArticulosPedido,Ventas,TotalArticulosPedido,GananciaPorPedido,RegionPedido,DestinoPedido,EstadoPedido,IDProducto,CategoriaProducto,NombreProducto,PrecioProducto,FechaEnvio,ModoEnvio
PAYMENT,4,2,2.346.999.931,Late delivery,1,Women's Apparel,Puerto Rico,8541,Home Office,Brasil,04/11/2017 15:49,56973,142502,50,3,150,144,2.346.999.931,South America,Bahía,PENDING_PAYMENT,502,24,Nike Men's Dri-FIT Victory Golf Polo,50,4/15/2017 15:49,Second Class
PAYMENT,4,2,3.286.000.061,Late delivery,1,Shop By Sport,Puerto Rico,9272,Home Office,Brasil,1/18/2017 19:37,51298,128201,3.999.000.168,3,1.199.700.012,9.958.000.183,3.286.000.061,South America,São Paulo,PENDING_PAYMENT,627,29,Under Armour Girls' Toddler Spine Surge Runni,3.999.000.168,1/22/2017 19:37,Second Class
TRANSFER,6,4,5.509.000.015,Late delivery,1,Shop By Sport,Puerto Rico,6398,Consumer,Argentina,02/07/2017 9:47,52640,131580,3.999.000.168,5,1.999.499.969,1.899.499.969,5.509.000.015,South America,Buenos Aires,PENDING,627,29,Under Armour Girls' Toddler Spine Surge Runni,3.999.000.168,2/13/2017 9:47,Standard Class
TRANSFER,4,4,6.858.999.634,Shipping on time,0,Shop By Sport,Puerto Rico,4209,Consumer,Brasil,04/03/2015 19:08,6358,15921,3.999.000.168,5,1.999.499.969,1.889.499.969,6.858.999.634,South America,São Paulo,PENDING,627,29,Under Armour Girls' Toddler Spine Surge Runni,3.999.000.168,04/07/2015 19:08,Standard Class
TRANSFER,2,4,5.197.999.954,Advance shipping,0,Women's Apparel,Puerto Rico,8917,Consumer,Brasil,4/13/2017 14:25,57106,142841,50,5,250,236.25,5.197.999.954,South America,São Paulo,PENDING,502,24,Nike Men's Dri-FIT Victory Golf Polo,50,4/15/2017 14:25,Standard Class
TRANSFER,6,4,-2.362.999.916,Late delivery,1,Women's Apparel,Puerto Rico,7784,Consumer,Brasil,04/02/2015 3:33,6245,15634,50,5,250,236.25,-2.362.999.916,South America,Paraná,PENDING,502,24,Nike Men's Dri-FIT Victory Golf Polo,50,04/08/2015 3:33,Standard Class
TRANSFER,3,4,4.784.999.847,Advance shipping,0,Women's Apparel,Puerto Rico,9204,Consumer,Brasil,5/27/2017 16:48,60127,150464,50,5,250,217.5,4.784.999.847,South America,Alagoas,PENDING,502,24,Nike Men's Dri-FIT Victory Golf Polo,50,5/30/2017 16:48,Standard Class
TRANSFER,2,4,8.5,Advance shipping,0,Women's Apparel,Puerto Rico,9554,Consumer,Brasil,5/31/2017 11:33,60386,151122,50,5,250,212.5,8.5,South America,Minas Gerais,PENDING,502,24,Nike Men's Dri-FIT Victory Golf Polo,50,06/02/2017 11:33,Standard Class
TRANSFER,6,4,52.5,Late delivery,1,Women's Apparel,Puerto Rico,6398,Consumer,Argentina,02/07/2017 9:47,52640,131577,50,5,250,187.5,52.5,South America,Buenos Aires,PENDING,502,24,Nike Men's Dri-FIT Victory Golf Polo,50,2/13/2017 9:47,Standard Class
TRANSFER,3,4,9.187.999.725,Advance shipping,0,Women's Apparel,Puerto Rico,3375,Consumer,Brasil,5/27/2015 1:32,10007,24992,50,5,250,187.5,9.187.999.725,South America,Ceará,PENDING,502,24,Nike Men's Dri-FIT Victory Golf Polo,50,5/30/2015 1:32,Standard Class
